action,semantic_task,prompt_namespace,provider,model,input_tokens,output_tokens,estimated_cost_usd
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,617,338,0.000529
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,712,304,0.000507
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,2026,448,0.000943
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,2037,364,0.000844
taxonomy,taxonomy,report_vs/taxonomy,openai,gpt-5.6-luna,8311,773,0.00259
doc_map,doc_map,report_vs/doc_map,openai,gpt-5.6-luna,9272,1978,0.004228
evidence_packs:scope,evidence_packs:scope,report_vs/evidence_packs/scope,openai,gpt-5.6-luna,5190,241,0.001327
evidence_packs:methods,evidence_packs:methods,report_vs/evidence_packs/methods,openai,gpt-5.6-luna,5175,559,0.001706
evidence_packs:quote_candidates,evidence_packs:quote_candidates,report_vs/evidence_packs/quote_candidates,openai,gpt-5.6-luna,5288,678,0.001871
evidence_packs:limitations,evidence_packs:limitations,report_vs/evidence_packs/limitations,openai,gpt-5.6-luna,8621,648,0.002502
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,767,622,0.0009
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,898,765,0.001098
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,778,299,0.000514
evidence_packs:findings,evidence_packs:findings,report_vs/evidence_packs/findings,openai,gpt-5.6-luna,6930,1594,0.003299
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,564,127,0.000265
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,776,564,0.000832
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,903,814,0.001157
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,617,165,0.000321
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,805,367,0.000601
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,875,555,0.000841
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,761,422,0.000659
context_category_fit,context_category_fit,report_vs/context_category_fit,openai,gpt-5.6-luna,9458,1813,0.004067
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,856,724,0.00104
artifacts:editorial_plan,artifacts:editorial_plan,report_vs/artifacts/editorial_plan,openai,gpt-5.6-luna,12862,583,0.003272
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,856,737,0.001056
